,stationName,parameters,value,datetime_UTC,localDateTime,unit,longitude,latitude
0,Bhaktpur ,pm25,90.4,2019-07-15 11:07:00,2019-07-15 16:52:00,µg/m3,85.417528,27.673762
1,Bhaktpur ,pm25,111.4,2019-07-15 14:56:00,2019-07-15 20:41:00,µg/m3,85.417528,27.673762
2,Bhaktpur ,pm25,103.8,2019-07-15 15:16:00,2019-07-15 21:01:00,µg/m3,85.417528,27.673762
3,Bhaktpur ,pm25,131.1,2019-07-15 16:16:00,2019-07-15 22:01:00,µg/m3,85.417528,27.673762
4,Bhaktpur ,pm25,145.2,2019-07-15 16:26:00,2019-07-15 22:11:00,µg/m3,85.417528,27.673762
5,Bhaktpur ,pm25,140.7,2019-07-15 16:46:00,2019-07-15 22:31:00,µg/m3,85.417528,27.673762
6,Bhaktpur ,pm25,134.5,2019-07-15 16:56:00,2019-07-15 22:41:00,µg/m3,85.417528,27.673762
7,Bhaktpur ,pm25,159.2,2019-07-15 17:06:00,2019-07-15 22:51:00,µg/m3,85.417528,27.673762
8,Bhaktpur ,pm25,176.5,2019-07-15 17:16:00,2019-07-15 23:01:00,µg/m3,85.417528,27.673762
9,Bhaktpur ,pm25,47.1,2019-07-16 03:16:00,2019-07-16 09:01:00,µg/m3,85.417528,27.673762
10,Bhaktpur ,pm25,93.9,2019-07-16 03:46:00,2019-07-16 09:31:00,µg/m3,85.417528,27.673762
11,Bhaktpur ,pm25,87.2,2019-07-16 03:56:00,2019-07-16 09:41:00,µg/m3,85.417528,27.673762
12,Bhaktpur ,pm25,93.6,2019-07-16 04:06:00,2019-07-16 09:51:00,µg/m3,85.417528,27.673762
13,Bhaktpur ,pm25,55.9,2019-07-16 04:46:00,2019-07-16 10:31:00,µg/m3,85.417528,27.673762
14,Bhaktpur ,pm25,42.3,2019-07-16 05:56:00,2019-07-16 11:41:00,µg/m3,85.417528,27.673762
15,Bhaktpur ,pm25,41.7,2019-07-16 06:06:00,2019-07-16 11:51:00,µg/m3,85.417528,27.673762
16,Bhaktpur ,pm25,24.4,2019-07-16 06:56:00,2019-07-16 12:41:00,µg/m3,85.417528,27.673762
17,Bhaktpur ,pm25,21.1,2019-07-16 07:06:00,2019-07-16 12:51:00,µg/m3,85.417528,27.673762
18,Bhaktpur ,pm25,16.8,2019-07-16 07:56:00,2019-07-16 13:41:00,µg/m3,85.417528,27.673762
19,Bhaktpur ,pm25,61.0,2019-07-16 08:06:00,2019-07-16 13:51:00,µg/m3,85.417528,27.673762
20,Bhaktpur ,pm25,69.2,2019-07-16 08:16:00,2019-07-16 14:01:00,µg/m3,85.417528,27.673762
21,Bhaktpur ,pm25,20.3,2019-07-16 08:36:00,2019-07-16 14:21:00,µg/m3,85.417528,27.673762
22,Bhaktpur ,pm25,14.8,2019-07-16 08:56:00,2019-07-16 14:41:00,µg/m3,85.417528,27.673762
23,Bhaktpur ,pm25,8.1,2019-07-16 09:16:00,2019-07-16 15:01:00,µg/m3,85.417528,27.673762
24,Bhaktpur ,pm25,8.4,2019-07-16 09:26:00,2019-07-16 15:11:00,µg/m3,85.417528,27.673762
25,Bhaktpur ,pm25,9.1,2019-07-16 09:46:00,2019-07-16 15:31:00,µg/m3,85.417528,27.673762
26,Bhaktpur ,pm25,9.7,2019-07-16 09:56:00,2019-07-16 15:41:00,µg/m3,85.417528,27.673762
27,Bhaktpur ,pm25,16.8,2019-07-16 10:16:00,2019-07-16 16:01:00,µg/m3,85.417528,27.673762
28,Bhaktpur ,pm25,14.7,2019-07-16 10:26:00,2019-07-16 16:11:00,µg/m3,85.417528,27.673762
29,Bhaktpur ,pm25,24.0,2019-07-16 10:36:00,2019-07-16 16:21:00,µg/m3,85.417528,27.673762
30,Bhaktpur ,pm25,18.5,2019-07-16 10:56:00,2019-07-16 16:41:00,µg/m3,85.417528,27.673762
31,Bhaktpur ,pm25,68.3,2019-07-16 14:56:00,2019-07-16 20:41:00,µg/m3,85.417528,27.673762
32,Bhaktpur ,pm25,26.3,2019-07-16 16:06:00,2019-07-16 21:51:00,µg/m3,85.417528,27.673762
33,Bhaktpur ,pm25,19.4,2019-07-16 16:56:00,2019-07-16 22:41:00,µg/m3,85.417528,27.673762
34,Bhaktpur ,pm25,4.1,2019-07-16 19:56:00,2019-07-17 01:41:00,µg/m3,85.417528,27.673762
35,Bhaktpur ,pm25,4.9,2019-07-16 23:06:00,2019-07-17 04:51:00,µg/m3,85.417528,27.673762
36,Bhaktpur ,pm25,5.4,2019-07-17 00:12:00,2019-07-17 05:57:00,µg/m3,85.417528,27.673762
37,Bhaktpur ,pm25,8.2,2019-07-17 01:26:00,2019-07-17 07:11:00,µg/m3,85.417528,27.673762
