,stationName,parameters,value,datetime_UTC,localDateTime,unit,longitude,latitude
38,Bhaktpur ,pm25,6.4,2019-07-17 01:56:00,2019-07-17 07:41:00,µg/m3,85.417528,27.673762
39,Bhaktpur ,pm25,52.5,2019-07-17 02:26:00,2019-07-17 08:11:00,µg/m3,85.417528,27.673762
40,Bhaktpur ,pm25,31.8,2019-07-17 02:46:00,2019-07-17 08:31:00,µg/m3,85.417528,27.673762
41,Bhaktpur ,pm25,56.9,2019-07-17 02:56:00,2019-07-17 08:41:00,µg/m3,85.417528,27.673762
42,Bhaktpur ,pm25,92.0,2019-07-17 03:16:00,2019-07-17 09:01:00,µg/m3,85.417528,27.673762
43,Bhaktpur ,pm25,93.2,2019-07-17 03:26:00,2019-07-17 09:11:00,µg/m3,85.417528,27.673762
44,Bhaktpur ,pm25,90.2,2019-07-17 03:36:00,2019-07-17 09:21:00,µg/m3,85.417528,27.673762
45,Bhaktpur ,pm25,85.0,2019-07-17 03:56:00,2019-07-17 09:41:00,µg/m3,85.417528,27.673762
46,Bhaktpur ,pm25,78.3,2019-07-17 04:16:00,2019-07-17 10:01:00,µg/m3,85.417528,27.673762
47,Bhaktpur ,pm25,33.0,2019-07-17 04:26:00,2019-07-17 10:11:00,µg/m3,85.417528,27.673762
48,Bhaktpur ,pm25,36.2,2019-07-17 04:56:00,2019-07-17 10:41:00,µg/m3,85.417528,27.673762
49,Bhaktpur ,pm25,37.6,2019-07-17 05:36:00,2019-07-17 11:21:00,µg/m3,85.417528,27.673762
50,Bhaktpur ,pm25,23.7,2019-07-17 05:56:00,2019-07-17 11:41:00,µg/m3,85.417528,27.673762
51,Bhaktpur ,pm25,32.1,2019-07-17 06:06:00,2019-07-17 11:51:00,µg/m3,85.417528,27.673762
52,Bhaktpur ,pm25,35.9,2019-07-17 06:36:00,2019-07-17 12:21:00,µg/m3,85.417528,27.673762
53,Bhaktpur ,pm25,33.3,2019-07-17 06:56:00,2019-07-17 12:41:00,µg/m3,85.417528,27.673762
54,Bhaktpur ,pm25,30.6,2019-07-17 07:06:00,2019-07-17 12:51:00,µg/m3,85.417528,27.673762
55,Bhaktpur ,pm25,32.1,2019-07-17 07:16:00,2019-07-17 13:01:00,µg/m3,85.417528,27.673762
56,Bhaktpur ,pm25,18.2,2019-07-17 07:46:00,2019-07-17 13:31:00,µg/m3,85.417528,27.673762
57,Bhaktpur ,pm25,12.3,2019-07-17 07:56:00,2019-07-17 13:41:00,µg/m3,85.417528,27.673762
58,Bhaktpur ,pm25,10.9,2019-07-17 08:16:00,2019-07-17 14:01:00,µg/m3,85.417528,27.673762
59,Bhaktpur ,pm25,12.7,2019-07-17 08:36:00,2019-07-17 14:21:00,µg/m3,85.417528,27.673762
60,Bhaktpur ,pm25,17.1,2019-07-17 08:46:00,2019-07-17 14:31:00,µg/m3,85.417528,27.673762
61,Bhaktpur ,pm25,12.7,2019-07-17 09:16:00,2019-07-17 15:01:00,µg/m3,85.417528,27.673762
62,Bhaktpur ,pm25,8.2,2019-07-17 09:36:00,2019-07-17 15:21:00,µg/m3,85.417528,27.673762
63,Bhaktpur ,pm25,5.9,2019-07-17 10:06:00,2019-07-17 15:51:00,µg/m3,85.417528,27.673762
64,Bhaktpur ,pm25,11.4,2019-07-17 11:16:00,2019-07-17 17:01:00,µg/m3,85.417528,27.673762
65,Bhaktpur ,pm25,5.3,2019-07-17 11:56:00,2019-07-17 17:41:00,µg/m3,85.417528,27.673762
66,Bhaktpur ,pm25,9.1,2019-07-17 12:26:00,2019-07-17 18:11:00,µg/m3,85.417528,27.673762
67,Bhaktpur ,pm25,16.9,2019-07-17 12:56:00,2019-07-17 18:41:00,µg/m3,85.417528,27.673762
68,Bhaktpur ,pm25,36.5,2019-07-17 13:56:00,2019-07-17 19:41:00,µg/m3,85.417528,27.673762
69,Bhaktpur ,pm25,37.1,2019-07-17 14:16:00,2019-07-17 20:01:00,µg/m3,85.417528,27.673762
70,Bhaktpur ,pm25,41.5,2019-07-17 14:26:00,2019-07-17 20:11:00,µg/m3,85.417528,27.673762
71,Bhaktpur ,pm25,33.9,2019-07-17 14:36:00,2019-07-17 20:21:00,µg/m3,85.417528,27.673762
72,Bhaktpur ,pm25,41.2,2019-07-17 14:46:00,2019-07-17 20:31:00,µg/m3,85.417528,27.673762
73,Bhaktpur ,pm25,48.4,2019-07-17 15:16:00,2019-07-17 21:01:00,µg/m3,85.417528,27.673762
74,Bhaktpur ,pm25,58.9,2019-07-17 15:56:00,2019-07-17 21:41:00,µg/m3,85.417528,27.673762
75,Bhaktpur ,pm25,58.6,2019-07-17 16:56:00,2019-07-17 22:41:00,µg/m3,85.417528,27.673762
76,Bhaktpur ,pm25,39.6,2019-07-17 18:16:00,2019-07-18 00:01:00,µg/m3,85.417528,27.673762
77,Bhaktpur ,pm25,17.9,2019-07-17 18:56:00,2019-07-18 00:41:00,µg/m3,85.417528,27.673762
78,Bhaktpur ,pm25,3.7,2019-07-17 19:24:00,2019-07-18 01:09:00,µg/m3,85.417528,27.673762
79,Bhaktpur ,pm25,3.8,2019-07-17 19:57:00,2019-07-18 01:42:00,µg/m3,85.417528,27.673762
80,Bhaktpur ,pm25,4.0,2019-07-17 21:11:00,2019-07-18 02:56:00,µg/m3,85.417528,27.673762
81,Bhaktpur ,pm25,3.8,2019-07-17 21:41:00,2019-07-18 03:26:00,µg/m3,85.417528,27.673762
82,Bhaktpur ,pm25,3.0,2019-07-17 21:57:00,2019-07-18 03:42:00,µg/m3,85.417528,27.673762
83,Bhaktpur ,pm25,2.5,2019-07-18 00:51:00,2019-07-18 06:36:00,µg/m3,85.417528,27.673762
84,Bhaktpur ,pm25,2.0,2019-07-18 01:11:00,2019-07-18 06:56:00,µg/m3,85.417528,27.673762
85,Bhaktpur ,pm25,1.7,2019-07-18 01:26:00,2019-07-18 07:11:00,µg/m3,85.417528,27.673762
86,Bhaktpur ,pm25,3.8,2019-07-18 01:46:00,2019-07-18 07:31:00,µg/m3,85.417528,27.673762
87,Bhaktpur ,pm25,4.4,2019-07-18 01:56:00,2019-07-18 07:41:00,µg/m3,85.417528,27.673762
88,Bhaktpur ,pm25,24.9,2019-07-18 02:06:00,2019-07-18 07:51:00,µg/m3,85.417528,27.673762
89,Bhaktpur ,pm25,2.6,2019-07-18 02:16:00,2019-07-18 08:01:00,µg/m3,85.417528,27.673762
90,Bhaktpur ,pm25,26.4,2019-07-18 02:26:00,2019-07-18 08:11:00,µg/m3,85.417528,27.673762
91,Bhaktpur ,pm25,54.7,2019-07-18 02:36:00,2019-07-18 08:21:00,µg/m3,85.417528,27.673762
92,Bhaktpur ,pm25,25.8,2019-07-18 02:46:00,2019-07-18 08:31:00,µg/m3,85.417528,27.673762
93,Bhaktpur ,pm25,26.8,2019-07-18 02:56:00,2019-07-18 08:41:00,µg/m3,85.417528,27.673762
94,Bhaktpur ,pm25,58.7,2019-07-18 03:06:00,2019-07-18 08:51:00,µg/m3,85.417528,27.673762
95,Bhaktpur ,pm25,56.1,2019-07-18 03:16:00,2019-07-18 09:01:00,µg/m3,85.417528,27.673762
96,Bhaktpur ,pm25,54.7,2019-07-18 03:26:00,2019-07-18 09:11:00,µg/m3,85.417528,27.673762
97,Bhaktpur ,pm25,58.7,2019-07-18 03:36:00,2019-07-18 09:21:00,µg/m3,85.417528,27.673762
98,Bhaktpur ,pm25,34.3,2019-07-18 03:46:00,2019-07-18 09:31:00,µg/m3,85.417528,27.673762
99,Bhaktpur ,pm25,35.0,2019-07-18 03:56:00,2019-07-18 09:41:00,µg/m3,85.417528,27.673762
100,Bhaktpur ,pm25,55.8,2019-07-18 04:06:00,2019-07-18 09:51:00,µg/m3,85.417528,27.673762
101,Bhaktpur ,pm25,45.0,2019-07-18 04:11:00,2019-07-18 09:56:00,µg/m3,85.417528,27.673762
102,Bhaktpur ,pm25,35.3,2019-07-18 04:26:00,2019-07-18 10:11:00,µg/m3,85.417528,27.673762
103,Bhaktpur ,pm25,48.5,2019-07-18 04:36:00,2019-07-18 10:21:00,µg/m3,85.417528,27.673762
104,Bhaktpur ,pm25,47.4,2019-07-18 04:46:00,2019-07-18 10:31:00,µg/m3,85.417528,27.673762
105,Bhaktpur ,pm25,34.8,2019-07-18 04:56:00,2019-07-18 10:41:00,µg/m3,85.417528,27.673762
106,Bhaktpur ,pm25,29.4,2019-07-18 05:06:00,2019-07-18 10:51:00,µg/m3,85.417528,27.673762
107,Bhaktpur ,pm25,25.5,2019-07-18 05:16:00,2019-07-18 11:01:00,µg/m3,85.417528,27.673762
108,Bhaktpur ,pm25,32.0,2019-07-18 05:26:00,2019-07-18 11:11:00,µg/m3,85.417528,27.673762
109,Bhaktpur ,pm25,37.5,2019-07-18 05:36:00,2019-07-18 11:21:00,µg/m3,85.417528,27.673762
110,Bhaktpur ,pm25,41.3,2019-07-18 05:46:00,2019-07-18 11:31:00,µg/m3,85.417528,27.673762
111,Bhaktpur ,pm25,31.6,2019-07-18 05:56:00,2019-07-18 11:41:00,µg/m3,85.417528,27.673762
112,Bhaktpur ,pm25,24.2,2019-07-18 06:06:00,2019-07-18 11:51:00,µg/m3,85.417528,27.673762
113,Bhaktpur ,pm25,31.4,2019-07-18 06:16:00,2019-07-18 12:01:00,µg/m3,85.417528,27.673762
114,Bhaktpur ,pm25,20.6,2019-07-18 06:26:00,2019-07-18 12:11:00,µg/m3,85.417528,27.673762
115,Bhaktpur ,pm25,16.9,2019-07-18 06:36:00,2019-07-18 12:21:00,µg/m3,85.417528,27.673762
116,Bhaktpur ,pm25,16.3,2019-07-18 06:46:00,2019-07-18 12:31:00,µg/m3,85.417528,27.673762
117,Bhaktpur ,pm25,13.7,2019-07-18 06:56:00,2019-07-18 12:41:00,µg/m3,85.417528,27.673762
118,Bhaktpur ,pm25,17.7,2019-07-18 07:06:00,2019-07-18 12:51:00,µg/m3,85.417528,27.673762
119,Bhaktpur ,pm25,15.5,2019-07-18 07:16:00,2019-07-18 13:01:00,µg/m3,85.417528,27.673762
120,Bhaktpur ,pm25,38.6,2019-07-18 07:26:00,2019-07-18 13:11:00,µg/m3,85.417528,27.673762
121,Bhaktpur ,pm25,37.8,2019-07-18 07:46:00,2019-07-18 13:31:00,µg/m3,85.417528,27.673762
122,Bhaktpur ,pm25,14.8,2019-07-18 07:56:00,2019-07-18 13:41:00,µg/m3,85.417528,27.673762
123,Bhaktpur ,pm25,16.3,2019-07-18 08:06:00,2019-07-18 13:51:00,µg/m3,85.417528,27.673762
124,Bhaktpur ,pm25,18.1,2019-07-18 08:16:00,2019-07-18 14:01:00,µg/m3,85.417528,27.673762
125,Bhaktpur ,pm25,13.9,2019-07-18 08:26:00,2019-07-18 14:11:00,µg/m3,85.417528,27.673762
126,Bhaktpur ,pm25,15.1,2019-07-18 08:36:00,2019-07-18 14:21:00,µg/m3,85.417528,27.673762
127,Bhaktpur ,pm25,10.4,2019-07-18 08:46:00,2019-07-18 14:31:00,µg/m3,85.417528,27.673762
128,Bhaktpur ,pm25,11.2,2019-07-18 08:56:00,2019-07-18 14:41:00,µg/m3,85.417528,27.673762
129,Bhaktpur ,pm25,24.1,2019-07-18 09:06:00,2019-07-18 14:51:00,µg/m3,85.417528,27.673762
130,Bhaktpur ,pm25,21.3,2019-07-18 09:16:00,2019-07-18 15:01:00,µg/m3,85.417528,27.673762
131,Bhaktpur ,pm25,26.8,2019-07-18 09:26:00,2019-07-18 15:11:00,µg/m3,85.417528,27.673762
132,Bhaktpur ,pm25,19.3,2019-07-18 09:36:00,2019-07-18 15:21:00,µg/m3,85.417528,27.673762
133,Bhaktpur ,pm25,23.7,2019-07-18 09:46:00,2019-07-18 15:31:00,µg/m3,85.417528,27.673762
134,Bhaktpur ,pm25,12.7,2019-07-18 09:56:00,2019-07-18 15:41:00,µg/m3,85.417528,27.673762
135,Bhaktpur ,pm25,19.7,2019-07-18 10:06:00,2019-07-18 15:51:00,µg/m3,85.417528,27.673762
136,Bhaktpur ,pm25,15.6,2019-07-18 10:16:00,2019-07-18 16:01:00,µg/m3,85.417528,27.673762
137,Bhaktpur ,pm25,18.3,2019-07-18 10:26:00,2019-07-18 16:11:00,µg/m3,85.417528,27.673762
138,Bhaktpur ,pm25,5.9,2019-07-18 10:46:00,2019-07-18 16:31:00,µg/m3,85.417528,27.673762
139,Bhaktpur ,pm25,7.4,2019-07-18 10:56:00,2019-07-18 16:41:00,µg/m3,85.417528,27.673762
140,Bhaktpur ,pm25,5.9,2019-07-18 11:06:00,2019-07-18 16:51:00,µg/m3,85.417528,27.673762
141,Bhaktpur ,pm25,6.3,2019-07-18 11:16:00,2019-07-18 17:01:00,µg/m3,85.417528,27.673762
142,Bhaktpur ,pm25,10.3,2019-07-18 11:36:00,2019-07-18 17:21:00,µg/m3,85.417528,27.673762
143,Bhaktpur ,pm25,12.3,2019-07-18 11:46:00,2019-07-18 17:31:00,µg/m3,85.417528,27.673762
144,Bhaktpur ,pm25,11.7,2019-07-18 11:56:00,2019-07-18 17:41:00,µg/m3,85.417528,27.673762
145,Bhaktpur ,pm25,14.3,2019-07-18 12:06:00,2019-07-18 17:51:00,µg/m3,85.417528,27.673762
146,Bhaktpur ,pm25,15.1,2019-07-18 12:16:00,2019-07-18 18:01:00,µg/m3,85.417528,27.673762
147,Bhaktpur ,pm25,17.7,2019-07-18 12:26:00,2019-07-18 18:11:00,µg/m3,85.417528,27.673762
148,Bhaktpur ,pm25,16.6,2019-07-18 12:36:00,2019-07-18 18:21:00,µg/m3,85.417528,27.673762
149,Bhaktpur ,pm25,30.4,2019-07-18 12:46:00,2019-07-18 18:31:00,µg/m3,85.417528,27.673762
150,Bhaktpur ,pm25,22.9,2019-07-18 12:56:00,2019-07-18 18:41:00,µg/m3,85.417528,27.673762
151,Bhaktpur ,pm25,25.2,2019-07-18 13:06:00,2019-07-18 18:51:00,µg/m3,85.417528,27.673762
152,Bhaktpur ,pm25,25.1,2019-07-18 13:16:00,2019-07-18 19:01:00,µg/m3,85.417528,27.673762
153,Bhaktpur ,pm25,27.5,2019-07-18 13:26:00,2019-07-18 19:11:00,µg/m3,85.417528,27.673762
154,Bhaktpur ,pm25,35.4,2019-07-18 13:36:00,2019-07-18 19:21:00,µg/m3,85.417528,27.673762
155,Bhaktpur ,pm25,43.4,2019-07-18 13:46:00,2019-07-18 19:31:00,µg/m3,85.417528,27.673762
156,Bhaktpur ,pm25,44.0,2019-07-18 13:56:00,2019-07-18 19:41:00,µg/m3,85.417528,27.673762
157,Bhaktpur ,pm25,54.3,2019-07-18 14:06:00,2019-07-18 19:51:00,µg/m3,85.417528,27.673762
158,Bhaktpur ,pm25,51.0,2019-07-18 14:16:00,2019-07-18 20:01:00,µg/m3,85.417528,27.673762
159,Bhaktpur ,pm25,57.2,2019-07-18 14:26:00,2019-07-18 20:11:00,µg/m3,85.417528,27.673762
160,Bhaktpur ,pm25,60.7,2019-07-18 14:36:00,2019-07-18 20:21:00,µg/m3,85.417528,27.673762
161,Bhaktpur ,pm25,59.2,2019-07-18 14:46:00,2019-07-18 20:31:00,µg/m3,85.417528,27.673762
162,Bhaktpur ,pm25,64.4,2019-07-18 14:56:00,2019-07-18 20:41:00,µg/m3,85.417528,27.673762
163,Bhaktpur ,pm25,87.2,2019-07-18 15:06:00,2019-07-18 20:51:00,µg/m3,85.417528,27.673762
164,Bhaktpur ,pm25,86.3,2019-07-18 15:16:00,2019-07-18 21:01:00,µg/m3,85.417528,27.673762
165,Bhaktpur ,pm25,75.2,2019-07-18 15:26:00,2019-07-18 21:11:00,µg/m3,85.417528,27.673762
166,Bhaktpur ,pm25,44.2,2019-07-18 15:36:00,2019-07-18 21:21:00,µg/m3,85.417528,27.673762
167,Bhaktpur ,pm25,65.7,2019-07-18 15:46:00,2019-07-18 21:31:00,µg/m3,85.417528,27.673762
168,Bhaktpur ,pm25,27.6,2019-07-18 15:56:00,2019-07-18 21:41:00,µg/m3,85.417528,27.673762
169,Bhaktpur ,pm25,38.5,2019-07-18 16:16:00,2019-07-18 22:01:00,µg/m3,85.417528,27.673762
170,Bhaktpur ,pm25,67.4,2019-07-18 16:26:00,2019-07-18 22:11:00,µg/m3,85.417528,27.673762
171,Bhaktpur ,pm25,72.6,2019-07-18 16:36:00,2019-07-18 22:21:00,µg/m3,85.417528,27.673762
172,Bhaktpur ,pm25,66.3,2019-07-18 16:55:00,2019-07-18 22:40:00,µg/m3,85.417528,27.673762
173,Bhaktpur ,pm25,4.1,2019-07-19 01:05:00,2019-07-19 06:50:00,µg/m3,85.417528,27.673762
174,Bhaktpur ,pm25,4.2,2019-07-19 01:15:00,2019-07-19 07:00:00,µg/m3,85.417528,27.673762
175,Bhaktpur ,pm25,3.8,2019-07-19 01:25:00,2019-07-19 07:10:00,µg/m3,85.417528,27.673762
176,Bhaktpur ,pm25,4.1,2019-07-19 01:35:00,2019-07-19 07:20:00,µg/m3,85.417528,27.673762
177,Bhaktpur ,pm25,3.4,2019-07-19 01:45:00,2019-07-19 07:30:00,µg/m3,85.417528,27.673762
178,Bhaktpur ,pm25,5.0,2019-07-19 01:55:00,2019-07-19 07:40:00,µg/m3,85.417528,27.673762
179,Bhaktpur ,pm25,4.0,2019-07-19 02:05:00,2019-07-19 07:50:00,µg/m3,85.417528,27.673762
180,Bhaktpur ,pm25,18.3,2019-07-19 02:15:00,2019-07-19 08:00:00,µg/m3,85.417528,27.673762
181,Bhaktpur ,pm25,33.1,2019-07-19 02:25:00,2019-07-19 08:10:00,µg/m3,85.417528,27.673762
182,Bhaktpur ,pm25,46.7,2019-07-19 02:35:00,2019-07-19 08:20:00,µg/m3,85.417528,27.673762
183,Bhaktpur ,pm25,70.9,2019-07-19 02:45:00,2019-07-19 08:30:00,µg/m3,85.417528,27.673762
184,Bhaktpur ,pm25,16.6,2019-07-19 02:55:00,2019-07-19 08:40:00,µg/m3,85.417528,27.673762
185,Bhaktpur ,pm25,55.4,2019-07-19 03:05:00,2019-07-19 08:50:00,µg/m3,85.417528,27.673762
186,Bhaktpur ,pm25,55.3,2019-07-19 03:15:00,2019-07-19 09:00:00,µg/m3,85.417528,27.673762
187,Bhaktpur ,pm25,55.8,2019-07-19 03:25:00,2019-07-19 09:10:00,µg/m3,85.417528,27.673762
188,Bhaktpur ,pm25,65.0,2019-07-19 03:35:00,2019-07-19 09:20:00,µg/m3,85.417528,27.673762
189,Bhaktpur ,pm25,24.7,2019-07-19 03:45:00,2019-07-19 09:30:00,µg/m3,85.417528,27.673762
190,Bhaktpur ,pm25,21.7,2019-07-19 03:55:00,2019-07-19 09:40:00,µg/m3,85.417528,27.673762
191,Bhaktpur ,pm25,18.7,2019-07-19 04:05:00,2019-07-19 09:50:00,µg/m3,85.417528,27.673762
192,Bhaktpur ,pm25,42.7,2019-07-19 04:15:00,2019-07-19 10:00:00,µg/m3,85.417528,27.673762
193,Bhaktpur ,pm25,55.4,2019-07-19 04:25:00,2019-07-19 10:10:00,µg/m3,85.417528,27.673762
194,Bhaktpur ,pm25,65.2,2019-07-19 04:35:00,2019-07-19 10:20:00,µg/m3,85.417528,27.673762
195,Bhaktpur ,pm25,66.0,2019-07-19 04:45:00,2019-07-19 10:30:00,µg/m3,85.417528,27.673762
196,Bhaktpur ,pm25,57.7,2019-07-19 04:55:00,2019-07-19 10:40:00,µg/m3,85.417528,27.673762
197,Bhaktpur ,pm25,6.4,2019-07-19 05:05:00,2019-07-19 10:50:00,µg/m3,85.417528,27.673762
198,Bhaktpur ,pm25,18.1,2019-07-19 05:15:00,2019-07-19 11:00:00,µg/m3,85.417528,27.673762
199,Bhaktpur ,pm25,41.6,2019-07-19 05:25:00,2019-07-19 11:10:00,µg/m3,85.417528,27.673762
200,Bhaktpur ,pm25,32.8,2019-07-19 05:35:00,2019-07-19 11:20:00,µg/m3,85.417528,27.673762
201,Bhaktpur ,pm25,4.1,2019-07-19 05:45:00,2019-07-19 11:30:00,µg/m3,85.417528,27.673762
202,Bhaktpur ,pm25,26.9,2019-07-19 05:55:00,2019-07-19 11:40:00,µg/m3,85.417528,27.673762
203,Bhaktpur ,pm25,24.0,2019-07-19 06:05:00,2019-07-19 11:50:00,µg/m3,85.417528,27.673762
204,Bhaktpur ,pm25,22.6,2019-07-19 06:15:00,2019-07-19 12:00:00,µg/m3,85.417528,27.673762
205,Bhaktpur ,pm25,17.0,2019-07-19 06:25:00,2019-07-19 12:10:00,µg/m3,85.417528,27.673762
206,Bhaktpur ,pm25,8.3,2019-07-19 06:35:00,2019-07-19 12:20:00,µg/m3,85.417528,27.673762
207,Bhaktpur ,pm25,12.8,2019-07-19 06:45:00,2019-07-19 12:30:00,µg/m3,85.417528,27.673762
208,Bhaktpur ,pm25,12.3,2019-07-19 06:55:00,2019-07-19 12:40:00,µg/m3,85.417528,27.673762
209,Bhaktpur ,pm25,17.4,2019-07-19 07:05:00,2019-07-19 12:50:00,µg/m3,85.417528,27.673762
210,Bhaktpur ,pm25,17.1,2019-07-19 07:15:00,2019-07-19 13:00:00,µg/m3,85.417528,27.673762
211,Bhaktpur ,pm25,8.0,2019-07-19 07:35:00,2019-07-19 13:20:00,µg/m3,85.417528,27.673762
212,Bhaktpur ,pm25,10.4,2019-07-19 07:45:00,2019-07-19 13:30:00,µg/m3,85.417528,27.673762
213,Bhaktpur ,pm25,2.0,2019-07-19 07:55:00,2019-07-19 13:40:00,µg/m3,85.417528,27.673762
214,Bhaktpur ,pm25,2.6,2019-07-19 08:05:00,2019-07-19 13:50:00,µg/m3,85.417528,27.673762
215,Bhaktpur ,pm25,3.4,2019-07-19 08:15:00,2019-07-19 14:00:00,µg/m3,85.417528,27.673762
216,Bhaktpur ,pm25,2.6,2019-07-19 08:25:00,2019-07-19 14:10:00,µg/m3,85.417528,27.673762
217,Bhaktpur ,pm25,5.4,2019-07-19 08:35:00,2019-07-19 14:20:00,µg/m3,85.417528,27.673762
218,Bhaktpur ,pm25,2.4,2019-07-19 08:45:00,2019-07-19 14:30:00,µg/m3,85.417528,27.673762
219,Bhaktpur ,pm25,3.8,2019-07-19 08:55:00,2019-07-19 14:40:00,µg/m3,85.417528,27.673762
220,Bhaktpur ,pm25,4.0,2019-07-19 09:05:00,2019-07-19 14:50:00,µg/m3,85.417528,27.673762
221,Bhaktpur ,pm25,2.2,2019-07-19 09:15:00,2019-07-19 15:00:00,µg/m3,85.417528,27.673762
222,Bhaktpur ,pm25,3.3,2019-07-19 09:25:00,2019-07-19 15:10:00,µg/m3,85.417528,27.673762
223,Bhaktpur ,pm25,2.4,2019-07-19 09:35:00,2019-07-19 15:20:00,µg/m3,85.417528,27.673762
224,Bhaktpur ,pm25,3.9,2019-07-19 09:45:00,2019-07-19 15:30:00,µg/m3,85.417528,27.673762
225,Bhaktpur ,pm25,4.8,2019-07-19 09:55:00,2019-07-19 15:40:00,µg/m3,85.417528,27.673762
226,Bhaktpur ,pm25,4.4,2019-07-19 10:05:00,2019-07-19 15:50:00,µg/m3,85.417528,27.673762
227,Bhaktpur ,pm25,4.6,2019-07-19 10:15:00,2019-07-19 16:00:00,µg/m3,85.417528,27.673762
