"stationName","parameters","value","datetime_UTC","localDateTime","unit","longitude","latitude"
"Ratnapark, Kathmandu","tsp",110.1,"2019-05-27 04:18:00","2019-05-27 10:03:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",76.9,"2019-05-27 04:28:00","2019-05-27 10:13:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",150.7,"2019-05-27 04:38:00","2019-05-27 10:23:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",39.7,"2019-05-27 04:48:00","2019-05-27 10:33:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",123.3,"2019-05-27 04:58:00","2019-05-27 10:43:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",75.3,"2019-05-27 05:08:00","2019-05-27 10:53:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",57.4,"2019-05-27 05:24:00","2019-05-27 11:09:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",52.1,"2019-05-27 05:34:00","2019-05-27 11:19:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",34.5,"2019-05-27 05:44:00","2019-05-27 11:29:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",45.2,"2019-05-27 05:54:00","2019-05-27 11:39:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",32.9,"2019-05-27 06:04:00","2019-05-27 11:49:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",31.2,"2019-05-27 06:14:00","2019-05-27 11:59:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",26.8,"2019-05-27 06:19:00","2019-05-27 12:04:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",56.1,"2019-05-27 06:28:00","2019-05-27 12:13:00","µg/m3",85.31,27.7
"Ratnapark, Kathmandu","tsp",41.9,"2019-05-27 06:39:00","2019-05-27 12:24:00","µg/m3",85.31,27.7
