"stationName","parameters","value","datetime_UTC","localDateTime","unit","longitude","latitude"
"Sauraha, Chitwan","tsp",11.5,"2019-05-27 03:55:00","2019-05-27 09:40:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",13.2,"2019-05-27 04:33:00","2019-05-27 10:18:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",14.7,"2019-05-27 04:49:00","2019-05-27 10:34:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",8.5,"2019-05-27 05:23:00","2019-05-27 11:08:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",9.6,"2019-05-27 05:32:00","2019-05-27 11:17:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",11.4,"2019-05-27 05:56:00","2019-05-27 11:41:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",6.9,"2019-05-27 06:31:00","2019-05-27 12:16:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",5.2,"2019-05-27 07:13:00","2019-05-27 12:58:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",11.3,"2019-05-27 07:18:00","2019-05-27 13:03:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",4.1,"2019-05-27 07:46:00","2019-05-27 13:31:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",1.4,"2019-05-27 08:23:00","2019-05-27 14:08:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",1,"2019-05-27 08:57:00","2019-05-27 14:42:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",1.2,"2019-05-27 09:32:00","2019-05-27 15:17:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",8.4,"2019-05-27 09:35:00","2019-05-27 15:20:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",0.5,"2019-05-27 10:09:00","2019-05-27 15:54:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",6.5,"2019-05-27 11:01:00","2019-05-27 16:46:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",10.3,"2019-05-27 11:15:00","2019-05-27 17:00:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",1,"2019-05-27 11:48:00","2019-05-27 17:33:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",0.7,"2019-05-27 12:23:00","2019-05-27 18:08:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",0.8,"2019-05-27 12:35:00","2019-05-27 18:20:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",2,"2019-05-27 12:56:00","2019-05-27 18:41:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",3.9,"2019-05-27 13:33:00","2019-05-27 19:18:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",3.5,"2019-05-27 14:09:00","2019-05-27 19:54:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",4.5,"2019-05-27 14:42:00","2019-05-27 20:27:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",4.6,"2019-05-27 14:58:00","2019-05-27 20:43:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",5.3,"2019-05-27 15:20:00","2019-05-27 21:05:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",4.4,"2019-05-27 15:54:00","2019-05-27 21:39:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",5.3,"2019-05-27 16:28:00","2019-05-27 22:13:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",5.9,"2019-05-27 16:49:00","2019-05-27 22:34:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",6.6,"2019-05-27 17:23:00","2019-05-27 23:08:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",7.2,"2019-05-27 17:57:00","2019-05-27 23:42:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",8.2,"2019-05-27 18:30:00","2019-05-28 00:15:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",8.9,"2019-05-27 19:04:00","2019-05-28 00:49:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",9.9,"2019-05-27 19:39:00","2019-05-28 01:24:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",11,"2019-05-27 20:13:00","2019-05-28 01:58:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",9.9,"2019-05-27 21:21:00","2019-05-28 03:06:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",10.9,"2019-05-27 21:25:00","2019-05-28 03:10:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",11.1,"2019-05-27 21:58:00","2019-05-28 03:43:00","µg/m3",84.498578,27.573483
"Sauraha, Chitwan","tsp",10.5,"2019-05-27 22:31:00","2019-05-28 04:16:00","µg/m3",84.498578,27.573483
