"stationName","parameters","value","datetime_UTC","localDateTime","unit","longitude","latitude"
"Bhaisipati, KTM","tsp",111,"2019-06-08 17:25:00","2019-06-08 23:10:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",184,"2019-06-08 17:47:00","2019-06-08 23:32:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",173,"2019-06-08 17:56:00","2019-06-08 23:41:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",111,"2019-06-08 18:09:00","2019-06-08 23:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",113,"2019-06-08 18:13:00","2019-06-08 23:58:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",78,"2019-06-08 18:29:00","2019-06-09 00:14:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",104,"2019-06-08 18:39:00","2019-06-09 00:24:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",100,"2019-06-08 18:47:00","2019-06-09 00:32:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",202,"2019-06-08 18:59:00","2019-06-09 00:44:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",85,"2019-06-08 19:09:00","2019-06-09 00:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",90,"2019-06-08 19:15:00","2019-06-09 01:00:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",93,"2019-06-08 19:39:00","2019-06-09 01:24:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",112,"2019-06-08 19:49:00","2019-06-09 01:34:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",87,"2019-06-08 19:55:00","2019-06-09 01:40:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",85,"2019-06-08 20:07:00","2019-06-09 01:52:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",81,"2019-06-08 20:15:00","2019-06-09 02:00:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",112,"2019-06-08 20:29:00","2019-06-09 02:14:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",99,"2019-06-08 20:35:00","2019-06-09 02:20:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",114,"2019-06-08 20:49:00","2019-06-09 02:34:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",102,"2019-06-08 20:57:00","2019-06-09 02:42:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",107,"2019-06-08 21:07:00","2019-06-09 02:52:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",97,"2019-06-08 21:17:00","2019-06-09 03:02:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",104,"2019-06-08 21:27:00","2019-06-09 03:12:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",98,"2019-06-08 21:37:00","2019-06-09 03:22:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",100,"2019-06-08 21:49:00","2019-06-09 03:34:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",116,"2019-06-08 21:57:00","2019-06-09 03:42:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",109,"2019-06-08 22:07:00","2019-06-09 03:52:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",102,"2019-06-08 22:17:00","2019-06-09 04:02:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",96,"2019-06-08 22:27:00","2019-06-09 04:12:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",114,"2019-06-08 22:35:00","2019-06-09 04:20:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",131,"2019-06-08 22:49:00","2019-06-09 04:34:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",118,"2019-06-08 22:59:00","2019-06-09 04:44:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",106,"2019-06-08 23:09:00","2019-06-09 04:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",116,"2019-06-08 23:15:00","2019-06-09 05:00:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",173,"2019-06-08 23:35:00","2019-06-09 05:20:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",151,"2019-06-08 23:49:00","2019-06-09 05:34:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",137,"2019-06-09 00:06:00","2019-06-09 05:51:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",299,"2019-06-09 00:19:00","2019-06-09 06:04:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",212,"2019-06-09 00:29:00","2019-06-09 06:14:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",128,"2019-06-09 00:38:00","2019-06-09 06:23:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",124,"2019-06-09 00:47:00","2019-06-09 06:32:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",154,"2019-06-09 00:57:00","2019-06-09 06:42:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",121,"2019-06-09 01:09:00","2019-06-09 06:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",127,"2019-06-09 01:19:00","2019-06-09 07:04:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",175,"2019-06-09 01:29:00","2019-06-09 07:14:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",154,"2019-06-09 01:37:00","2019-06-09 07:22:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",498,"2019-06-09 01:47:00","2019-06-09 07:32:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",201,"2019-06-09 01:57:00","2019-06-09 07:42:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",129,"2019-06-09 02:09:00","2019-06-09 07:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",137,"2019-06-09 02:17:00","2019-06-09 08:02:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",138,"2019-06-09 02:29:00","2019-06-09 08:14:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",129,"2019-06-09 02:37:00","2019-06-09 08:22:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",184,"2019-06-09 02:47:00","2019-06-09 08:32:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",111,"2019-06-09 02:57:00","2019-06-09 08:42:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",167,"2019-06-09 03:09:00","2019-06-09 08:54:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",140,"2019-06-09 03:19:00","2019-06-09 09:04:00","µg/m3",85.302252,27.65311
"Bhaisipati, KTM","tsp",195,"2019-06-09 03:37:00","2019-06-09 09:22:00","µg/m3",85.302252,27.65311
